iter	Passed	Remaining
911	5004	482
912	5007	477
913	5010	471
914	5017	466
915	5020	460
916	5036	455
917	5039	450
918	5051	445
919	5054	439
920	5057	433
921	5067	428
922	5069	422
923	5072	417
924	5075	411
925	5135	410
926	5138	404
927	5144	399
928	5150	393
929	5153	387
930	5155	382
931	5157	376
932	5161	370
933	5164	364
934	5167	359
935	5170	353
936	5173	347
937	5176	342
938	5179	336
939	5182	330
940	5185	325
941	5188	319
942	5193	313
943	5199	308
944	5204	302
945	5207	297
946	5219	292
947	5221	286
948	5224	280
949	5229	275
950	5232	269
951	5235	263
952	5238	258
953	5241	252
954	5246	247
955	5334	245
956	5336	239
957	5338	234
958	5344	228
959	5347	222
960	5350	217
961	5353	211
962	5356	205
963	5360	200
964	5363	194
965	5366	188
966	5376	183
967	5379	177
968	5382	172
969	5385	166
970	5391	161
971	5394	155
972	5397	149
973	5414	144
974	5418	138
975	5424	133
976	5440	128
977	5445	122
978	5449	116
979	5456	111
980	5462	105
981	5466	100
982	5471	94
983	5474	89
984	5491	83
985	5521	78
986	5524	72
987	5527	67
988	5530	61
989	5536	55
990	5543	50
991	5547	44
992	5550	39
993	5555	33
994	5558	27
995	5638	22
996	5640	16
997	5642	11
998	5647	5
999	5651	0
